unique.cm1e.from.,year.in.deg,year.out.deg,betweenness,outcloseness,incloseness,mp.eigval,cy.degree,cy.indegree,cy.outdegree,cy.betweenness,mp.degree,mp.indegree,mp.outdegree,mp.betweenness,sp.degree,sp.indegree,sp.outdegree,sp.betweenness
arusha/meru/akheri,2,1,7.553571429,1.32E-05,2.04E-05,0.092349881,3,2,1,7.553571429,13,7,6,68.75329689,10,5,5,448.3637736
arusha/ngorongoro/alailelai,0,1,0,1.32E-05,6.33E-06,0.002041786,1,0,1,0,10,5,5,30.15655821,10,5,5,569.2931425
kilimanjaro/rombo/aleni,0,1,0,1.33E-05,6.33E-06,0.024976265,1,0,1,0,11,5,6,1158.296111,10,5,5,3452.000352
arusha/ngorongoro/arash,0,3,0,1.33E-05,6.33E-06,0.000182165,3,0,3,0,7,2,5,52.73196785,4,2,2,0
manyara/babati/arri,1,1,0,1.32E-05,6.36E-06,0.000303888,2,1,1,0,15,8,7,137.9829007,14,7,7,2056.234038
kilimanjaro/moshi/arushachini,6,0,0,6.33E-06,2.06E-05,0.301117974,6,6,0,0,24,15,9,371.0495826,18,9,9,13370.96439
manyara/mbulu/ayamaami,1,1,0,1.32E-05,2.03E-05,0.000991104,2,1,1,0,9,5,4,70.55222155,8,4,4,9.442005498
manyara/mbulu/ayamohe,0,1,0,1.32E-05,6.33E-06,0.00022001,1,0,1,0,7,3,4,4.664274745,6,3,3,0
manyara/babati/ayasanda,1,1,273,1.32E-05,2.03E-05,0.000739119,2,1,1,273,9,5,4,1129.344073,8,4,4,10.34305591
manyara/babatiurban/babati,8,8,208.8757076,1.32E-05,2.05E-05,0.059479508,16,8,8,208.8757076,24,12,12,4741.591074,8,4,4,15.63855713
manyara/babatiurban/bagara,0,0,0,6.33E-06,6.33E-06,0.004438326,0,0,0,0,16,8,8,2036.906792,16,8,8,1581.19697
manyara/hanang/balagidalalu,0,1,0,1.53E-05,6.33E-06,6.93E-07,1,0,1,0,11,5,6,247.9350152,10,5,5,477.5160862
arusha/arusha/bangata,2,1,0,1.32E-05,2.05E-05,0.191516802,3,2,1,0,15,8,7,47.75893272,12,6,6,1637.390342
arusha/arushaurban/baraa,7,0,0,6.33E-06,2.06E-05,0.300992174,7,7,0,0,17,12,5,57.01687045,10,5,5,260.1852479
arusha/karatu/baray,2,4,0,1.32E-05,2.04E-05,0.00484849,6,2,4,0,22,10,12,2771.332034,16,8,8,4822.352208
manyara/mbulu/bargish,1,1,0,1.32E-05,2.03E-05,0.000987817,2,1,1,0,10,5,5,92.05469228,10,5,5,51.23757011
manyara/mbulu/bashay,0,1,0,1.32E-05,6.33E-06,0.000755468,1,0,1,0,11,5,6,61.40521962,10,5,5,834.3016044
manyara/babati/bashneti,1,36,237,1.57E-05,6.34E-06,0.000450356,37,1,36,237,44,5,39,2104.048516,10,5,5,1008.509154
manyara/hanang/bassodesh,1,15,236,1.55E-05,6.34E-06,5.97E-05,16,1,15,236,30,8,22,1866.77677,16,8,8,2978.708554
manyara/hanang/bassotu,0,22,0,1.34E-05,6.33E-06,5.08E-06,22,0,22,0,32,5,27,637.1380635,10,5,5,548.1193917
kilimanjaro/same/bendera,0,0,0,6.33E-06,6.33E-06,0.00129475,0,0,0,0,6,3,3,4.750277123,6,3,3,170.3517818
kilimanjaro/siha/biriri,9,36,1943.365476,1.32E-05,2.04E-05,0.154524896,45,9,36,1943.365476,56,15,41,1930.534581,16,8,8,1572.869105
manyara/babati/boay,0,1,0,1.32E-05,6.33E-06,0.000263507,1,0,1,0,10,5,5,1238.605577,10,5,5,12188.90089
kilimanjaro/moshimunicipal/bomambuzi,1,0,0,6.33E-06,2.06E-05,0.105517558,1,1,0,0,15,8,7,174.8281307,14,7,7,1852.637223
