fullname,ward.id,name,district,region,long,lat,area.km2,status,pop2012,popdens2012,popdensglw.cattle,popglw.cattle,popdensglw.sheep,popglw.sheep,popdensglw.goats,popglw.goats,popglw.animals,popdensglw.animals,popglw.caprine,popdensglw.caprine,pop.cattle,pop.sheep,pop.goats,popdens.cattle,popdens.sheep,popdens.goats,pop.animals,popdens.animals,pop.caprine,popdens.caprine,prodsys,market,nearest.secondary,mindist.secondary,nearest.primary,mindist.primary,ndvi,rvf.risk,rvf.risk.bin
arusha/meru/akheri,lon36.785.lat-3.375,Akheri,Meru,Arusha,36.7852810818249,-3.37505198559338,17.6,Mixed Ward,13699,778.4,35.743,629,8.988,158,21.853,385,1172,66.6,543,30.9,7414,875,916,421.2,49.7,52,9205,523,1791,101.8,Smallholder,None,arusha/arusha/bwawani,21.07,arusha/arushaurban/sokonii,12.52,0.646,0,0
arusha/ngorongoro/alailelai,lon35.687.lat-2.893,Alailelai,Ngorongoro,Arusha,35.6874405157405,-2.89324374242303,366.9,Rural Ward,7351,20,7.818,2868,21.694,7959,18.492,6785,17612,48,14744,40.2,29183,94531,13072,79.5,257.6,35.6,136786,372.8,107603,293.3,Pastoral,None,arusha/monduli/meserani,108.08,arusha/ngorongoro/olbalbal,32.33,0.461,0.329,0
kilimanjaro/rombo/aleni,lon37.596.lat-3.227,Aleni,Rombo,Kilimanjaro,37.5963865971777,-3.22661554447507,43,Rural Ward,9801,227.9,39.38,1693,24.927,1072,31.157,1340,4105,95.5,2412,56.1,2061,1352,5475,47.9,31.4,127.3,8888,206.7,6827,158.8,Smallholder,None,kilimanjaro/hai/machamekusini,40.53,kilimanjaro/rombo/kitirimakingachi,17.01,0.636,0.022,0
tanga/muheza/amani,lon38.623.lat-5.133,Amani,Muheza,Tanga,38.6233507289936,-5.13329379813126,91.2,Rural Ward,5553,60.9,0.107,10,0.011,1,0,0,11,0.1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819,0,0
arusha/ngorongoro/arash,lon35.385.lat-2.428,Arash,Ngorongoro,Arusha,35.3852619642546,-2.42787397723835,1103.7,Rural Ward,7841,7.1,37.265,41129,12.886,14223,21.988,24268,79620,72.1,38491,34.9,46501,25168,58851,42.1,22.8,53.3,130520,118.3,84019,76.1,Agropastoral,Primary,arusha/monduli/meserani,168.9,arusha/ngorongoro/oloirien,39.42,0.394,0.676,1
manyara/babati/arri,lon35.580.lat-4.199,Arri,Babati,Manyara,35.5804269203864,-4.19888479817212,109.9,Rural Ward,14146,128.7,1.404,154,1.847,203,7.686,845,1202,10.9,1048,9.5,5625,1933,5236,51.2,17.6,47.6,12794,116.4,7169,65.2,Agropastoral,None,arusha/monduli/meserani,111.95,manyara/babati/dareda,7.31,0.602,0,0
kilimanjaro/moshi/arushachini,lon37.343.lat-3.534,Arusha Chini,Moshi,Kilimanjaro,37.3429778086801,-3.53367206953398,173,Rural Ward,13960,80.7,29.368,5081,6.045,1046,55.544,9609,15736,91,10655,61.6,8125,1600,7870,47,9.2,45.5,17595,101.7,9470,54.7,Agropastoral,None,kilimanjaro/hai/machamekusini,22.09,manyara/simanjiro/msituwatembo,14.28,0.579,0.097,0
manyara/mbulu/ayamaami,lon35.549.lat-3.884,Ayamaami,Mbulu,Manyara,35.5489981705248,-3.88354766656634,14.6,Urban Ward,4848,332.1,10.934,160,2.32,34,19.579,286,480,32.9,320,21.9,1423,333,1389,97.5,22.8,95.1,3145,215.4,1722,117.9,Smallholder,None,arusha/monduli/meserani,97.81,manyara/mbulu/endagikot,3.66,0.569,0,0
manyara/mbulu/ayamohe,lon35.572.lat-3.846,Ayamohe,Mbulu,Manyara,35.5720251092973,-3.84615930140935,8.6,Urban Ward,5785,672.7,12.336,106,4.628,40,19.674,169,315,36.6,209,24.3,1140,368,1006,132.6,42.8,117,2514,292.3,1374,159.8,Smallholder,None,arusha/monduli/meserani,94.03,manyara/mbulu/endagikot,7.31,0.532,0,0
manyara/babati/ayasanda,lon35.709.lat-4.360,Ayasanda,Babati,Manyara,35.708580832775,-4.36013506208263,49,Rural Ward,6182,126.2,10.516,515,6.634,325,32.849,1610,2450,50,1935,39.5,3041,1627,3291,62.1,33.2,67.2,7959,162.4,4918,100.4,Agropastoral,None,arusha/monduli/meserani,114.07,manyara/babati/gidas,9.19,0.563,0,0
manyara/babatiurban/babati,lon35.775.lat-4.203,Babati,Babati Urban,Manyara,35.7749419147919,-4.20304768718181,27.5,Urban Ward,16718,607.9,4.22,116,21.96,604,21.281,585,1305,47.5,1189,43.2,1451,603,2662,52.8,21.9,96.8,4716,171.5,3265,118.7,Urban,None,arusha/monduli/meserani,96.18,manyara/babatiurban/nangara,5.79,0.54,0,0
tanga/lushoto/baga,lon38.428.lat-4.770,Baga,Lushoto,Tanga,38.4283167324584,-4.77047578859827,43.4,Rural Ward,8521,196.3,10.268,446,2.909,126,24.548,1065,1637,37.7,1191,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0,0
manyara/babatiurban/bagara,lon35.715.lat-4.241,Bagara,Babati Urban,Manyara,35.714865666259,-4.24111510407684,47.6,Mixed Ward,28920,607.6,12.765,608,10.272,489,29.154,1388,2485,52.2,1877,39.4,3750,1102,3935,78.8,23.2,82.7,8787,184.6,5037,105.8,Smallholder,None,arusha/monduli/meserani,103.87,manyara/babati/riroda,8.73,0.48,0.036,0
manyara/hanang/balagidalalu,lon35.307.lat-4.660,Balagidalalu,Hanang,Manyara,35.3068781223489,-4.65953205333081,299.7,Rural Ward,14478,48.3,14.858,4453,2.548,764,12.335,3697,8914,29.7,4461,14.9,16572,2362,6199,55.3,7.9,20.7,25133,83.9,8561,28.6,Agropastoral,None,arusha/monduli/meserani,168.75,manyara/hanang/katesh,16.29,0.433,0.083,0
arusha/arusha/bangata,lon36.747.lat-3.323,Bangata,Arusha,Arusha,36.7468495503313,-3.3228088732051,14.5,Rural Ward,9136,630.1,15.349,223,4.728,69,8.444,122,414,28.6,191,13.2,2732,372,396,188.4,25.7,27.3,3500,241.4,768,53,Smallholder,None,arusha/arusha/bwawani,27.4,arusha/arusha/olmotonyi,10.34,0.768,0,0
