from,to
arusha/meru/kikwe,arusha/meru/akheri
arusha/arusha/mlangarini,arusha/meru/akheri
arusha/meru/nkoanrua,arusha/meru/akheri
arusha/meru/nkoarisambu,arusha/meru/akheri
arusha/meru/seelasingisi,arusha/meru/akheri
arusha/ngorongoro/malambo,arusha/ngorongoro/alailelai
arusha/ngorongoro/nainokanoka,arusha/ngorongoro/alailelai
arusha/ngorongoro/naiyobi,arusha/ngorongoro/alailelai
arusha/ngorongoro/olbalbal,arusha/ngorongoro/alailelai
arusha/ngorongoro/pinyinyi,arusha/ngorongoro/alailelai
kilimanjaro/rombo/kenimengeni,kilimanjaro/rombo/aleni
kilimanjaro/moshi/mbokomu,kilimanjaro/rombo/aleni
kilimanjaro/moshi/oldmoshimashariki,kilimanjaro/rombo/aleni
kilimanjaro/rombo/shimbi,kilimanjaro/rombo/aleni
kilimanjaro/moshi/urumashariki,kilimanjaro/rombo/aleni
arusha/ngorongoro/maalon,arusha/ngorongoro/arash
arusha/ngorongoro/malambo,arusha/ngorongoro/arash
manyara/babati/dareda,manyara/babati/arri
manyara/babati/duru,manyara/babati/arri
manyara/babati/kiru,manyara/babati/arri
manyara/babati/madunga,manyara/babati/arri
manyara/hanang/masakta,manyara/babati/arri
manyara/babati/riroda,manyara/babati/arri
manyara/babatiurban/sigino,manyara/babati/arri
kilimanjaro/moshimunicipal/bomambuzi,kilimanjaro/moshi/arushachini
kilimanjaro/moshi/kahe,kilimanjaro/moshi/arushachini
kilimanjaro/moshi/kindi,kilimanjaro/moshi/arushachini
kilimanjaro/moshimunicipal/korongoni,kilimanjaro/moshi/arushachini
kilimanjaro/moshi/mabogini,kilimanjaro/moshi/arushachini
kilimanjaro/hai/machameweruweru,kilimanjaro/moshi/arushachini
kilimanjaro/hai/masamarundugai,kilimanjaro/moshi/arushachini
manyara/simanjiro/msituwatembo,kilimanjaro/moshi/arushachini
kilimanjaro/moshimunicipal/pasua,kilimanjaro/moshi/arushachini
manyara/mbulu/endagikot,manyara/mbulu/ayamaami
manyara/mbulu/kainam,manyara/mbulu/ayamaami
manyara/mbulu/nambisi,manyara/mbulu/ayamaami
manyara/mbulu/sanubaray,manyara/mbulu/ayamaami
manyara/mbulu/gehandu,manyara/mbulu/ayamohe
manyara/mbulu/sanubaray,manyara/mbulu/ayamohe
manyara/mbulu/uhuru,manyara/mbulu/ayamohe
manyara/babati/boay,manyara/babati/ayasanda
manyara/babatiurban/bonga,manyara/babati/ayasanda
manyara/babati/duru,manyara/babati/ayasanda
manyara/babati/gidas,manyara/babati/ayasanda
manyara/babatiurban/bagara,manyara/babatiurban/babati
manyara/babatiurban/maisaka,manyara/babatiurban/babati
manyara/babatiurban/mutuka,manyara/babatiurban/babati
manyara/babatiurban/nangara,manyara/babatiurban/babati
manyara/babatiurban/babati,manyara/babatiurban/bagara
manyara/babatiurban/bonga,manyara/babatiurban/bagara
manyara/babati/duru,manyara/babatiurban/bagara
manyara/babatiurban/maisaka,manyara/babatiurban/bagara
manyara/babatiurban/nangara,manyara/babatiurban/bagara
manyara/babati/riroda,manyara/babatiurban/bagara
manyara/babatiurban/sigino,manyara/babatiurban/bagara
manyara/babatiurban/singe,manyara/babatiurban/bagara
manyara/hanang/dirma,manyara/hanang/balagidalalu
manyara/hanang/gehandu,manyara/hanang/balagidalalu
manyara/hanang/gisambalang,manyara/hanang/balagidalalu
manyara/hanang/lalaji,manyara/hanang/balagidalalu
manyara/hanang/mogitu,manyara/hanang/balagidalalu
arusha/arushaurban/baraa,arusha/arusha/bangata
arusha/arusha/ilkidinga,arusha/arusha/bangata
arusha/arushaurban/moshono,arusha/arusha/bangata
arusha/meru/ngarenanyuki,arusha/arusha/bangata
arusha/meru/nkoanrua,arusha/arusha/bangata
arusha/arusha/sokonii,arusha/arusha/bangata
arusha/arusha/bangata,arusha/arushaurban/baraa
arusha/arushaurban/kimandolu,arusha/arushaurban/baraa
arusha/arushaurban/moshono,arusha/arushaurban/baraa
arusha/arushaurban/oloirieni,arusha/arushaurban/baraa
arusha/arusha/sokonii,arusha/arushaurban/baraa
arusha/karatu/daa,arusha/karatu/baray
arusha/karatu/endabash,arusha/karatu/baray
arusha/karatu/endamaghang,arusha/karatu/baray
manyara/mbulu/eshkesh,arusha/karatu/baray
arusha/karatu/kansay,arusha/karatu/baray
arusha/karatu/mangola,arusha/karatu/baray
manyara/mbulu/masieda,arusha/karatu/baray
manyara/mbulu/yaedachini,arusha/karatu/baray
manyara/mbulu/daudi,manyara/mbulu/bargish
manyara/mbulu/gehandu,manyara/mbulu/bargish
manyara/mbulu/gunyoda,manyara/mbulu/bargish
manyara/mbulu/imboru,manyara/mbulu/bargish
manyara/mbulu/uhuru,manyara/mbulu/bargish
manyara/mbulu/dinamu,manyara/mbulu/bashay
manyara/mbulu/endamilay,manyara/mbulu/bashay
manyara/mbulu/masqaroda,manyara/mbulu/bashay
manyara/mbulu/yaedaampa,manyara/mbulu/bashay
manyara/mbulu/yaedachini,manyara/mbulu/bashay
manyara/babati/dabil,manyara/babati/bashneti
manyara/babati/dareda,manyara/babati/bashneti
manyara/babati/madunga,manyara/babati/bashneti
manyara/babati/nar,manyara/babati/bashneti
manyara/babati/ufana,manyara/babati/bashneti
manyara/hanang/bassotu,manyara/hanang/bassodesh
manyara/babati/dabil,manyara/hanang/bassodesh
manyara/hanang/gendabi,manyara/hanang/bassodesh
manyara/hanang/getanuwas,manyara/hanang/bassodesh
manyara/mbulu/geterer,manyara/hanang/bassodesh
manyara/mbulu/hayderer,manyara/hanang/bassodesh
manyara/hanang/hirbadaw,manyara/hanang/bassodesh
manyara/babati/ufana,manyara/hanang/bassodesh
manyara/hanang/bassodesh,manyara/hanang/bassotu
manyara/hanang/gendabi,manyara/hanang/bassotu
manyara/hanang/getanuwas,manyara/hanang/bassotu
manyara/hanang/laghanga,manyara/hanang/bassotu
manyara/hanang/mogitu,manyara/hanang/bassotu
kilimanjaro/same/kalemawe,kilimanjaro/same/bendera
kilimanjaro/same/kihurio,kilimanjaro/same/bendera
kilimanjaro/same/vunta,kilimanjaro/same/bendera
kilimanjaro/siha/gararagua,kilimanjaro/siha/biriri
kilimanjaro/siha/ivaeny,kilimanjaro/siha/biriri
kilimanjaro/siha/karansi,kilimanjaro/siha/biriri
kilimanjaro/siha/makiwaru,kilimanjaro/siha/biriri
kilimanjaro/hai/masamakusini,kilimanjaro/siha/biriri
kilimanjaro/siha/nasai,kilimanjaro/siha/biriri
kilimanjaro/siha/olkolili,kilimanjaro/siha/biriri
kilimanjaro/siha/sanyajuu,kilimanjaro/siha/biriri
manyara/babati/ayasanda,manyara/babati/boay
manyara/babatiurban/bonga,manyara/babati/boay
manyara/babati/gidas,manyara/babati/boay
manyara/babati/qashi,manyara/babati/boay
manyara/hanang/simbay,manyara/babati/boay
kilimanjaro/moshi/arushachini,kilimanjaro/moshimunicipal/bomambuzi
kilimanjaro/moshimunicipal/bondeni,kilimanjaro/moshimunicipal/bomambuzi
kilimanjaro/moshimunicipal/kaloleni,kilimanjaro/moshimunicipal/bomambuzi
kilimanjaro/moshimunicipal/korongoni,kilimanjaro/moshimunicipal/bomambuzi
kilimanjaro/moshi/mabogini,kilimanjaro/moshimunicipal/bomambuzi
kilimanjaro/moshimunicipal/njoro,kilimanjaro/moshimunicipal/bomambuzi
kilimanjaro/moshimunicipal/pasua,kilimanjaro/moshimunicipal/bomambuzi
kilimanjaro/same/chome,kilimanjaro/same/bombo
kilimanjaro/same/maore,kilimanjaro/same/bombo
kilimanjaro/same/mtii,kilimanjaro/same/bombo
kilimanjaro/same/vuje,kilimanjaro/same/bombo
kilimanjaro/moshimunicipal/bomambuzi,kilimanjaro/moshimunicipal/bondeni
kilimanjaro/moshimunicipal/kiusa,kilimanjaro/moshimunicipal/bondeni
kilimanjaro/moshimunicipal/korongoni,kilimanjaro/moshimunicipal/bondeni
kilimanjaro/moshimunicipal/mawenzi,kilimanjaro/moshimunicipal/bondeni
kilimanjaro/moshimunicipal/njoro,kilimanjaro/moshimunicipal/bondeni
manyara/babati/ayasanda,manyara/babatiurban/bonga
manyara/babatiurban/bagara,manyara/babatiurban/bonga
manyara/babati/boay,manyara/babatiurban/bonga
manyara/babati/duru,manyara/babatiurban/bonga
manyara/babati/qashi,manyara/babatiurban/bonga
manyara/babatiurban/singe,manyara/babatiurban/bonga
manyara/mbulu/daudi,arusha/karatu/buger
arusha/karatu/endabash,arusha/karatu/buger
arusha/karatu/endamarariek,arusha/karatu/buger
manyara/mbulu/gehandu,arusha/karatu/buger
arusha/karatu/kansay,arusha/karatu/buger
manyara/babati/magara,arusha/karatu/buger
manyara/mbulu/marang,arusha/karatu/buger
manyara/kiteto/kibaya,manyara/kiteto/bwagamoyo
manyara/kiteto/njoro,manyara/kiteto/bwagamoyo
manyara/kiteto/partimbo,manyara/kiteto/bwagamoyo
kilimanjaro/same/chome,kilimanjaro/same/bwambo
kilimanjaro/same/hedaru,kilimanjaro/same/bwambo
kilimanjaro/same/kirangare,kilimanjaro/same/bwambo
kilimanjaro/same/mpinji,kilimanjaro/same/bwambo
kilimanjaro/same/myamba,kilimanjaro/same/bwambo
kilimanjaro/same/suji,kilimanjaro/same/bwambo
arusha/meru/mbuguni,arusha/arusha/bwawani
arusha/arusha/mlangarini,arusha/arusha/bwawani
arusha/arusha/nduruma,arusha/arusha/bwawani
manyara/simanjiro/oljorono,arusha/arusha/bwawani
manyara/simanjiro/shambarai,arusha/arusha/bwawani
arusha/arushaurban/terrat,arusha/arusha/bwawani
manyara/kiteto/dosidosi,manyara/kiteto/chapakazi
